Column1;_8;_9
統括[とうかつ];俺たちはいつもリスク統括部の奴らとは意見が合わないんだよ。;Nous ne sommes pas toujours d'accord avec les gens du service de gestion des risques.
潔い[いさぎよい];俺にもお前みたいな潔い心があればいいんだがな。;J'aimerais avoir un cœur pur comme le vôtre.
拷問[ごうもん];俺の姉は、マフィアから残虐な拷問を受けたんだ。;Ma sœur aînée a été brutalement torturée par la mafia.
液晶[えきしょう];俺の投げたライターがテレビに当たって、液晶画面にヒビが入りました。;Le briquet que j'ai lancé a touché le téléviseur et a fissuré l'écran LCD.
吹き出す[ふきだす];俺の新しい髪型を見て、あいつプッと吹き出したんだぜ。失礼だよな。;Elle a ri quand elle a vu ma nouvelle coiffure. C'est grossier, n'est-ce pas ?
木製[もくせい];俺の木製バットは、あいつの内角速球によって折れてしまったんだ。;Ma batte en bois a été brisée par une balle rapide intérieure lancée par ce type.
殴り合い[なぐりあい];俺の連れは今クラブで殴り合いの喧嘩の真っ最中さ。;Mon homme est en pleine bagarre dans le club.
鮮魚[せんぎょ];俺の魚屋で働いている限り、従業員は福利厚生として鮮魚をもらう権利を、放棄することはできないぜ。;Les employés ne peuvent pas renoncer à leur droit de recevoir du poisson frais à titre d'avantage tant qu'ils travaillent pour ma poissonnerie.
己[おのれ];俺は、みんな死ぬ前に己の墓は己で建てるべきだと思うけどね。;Je pense que les gens devraient construire leurs propres tombes avant de mourir.
宴[うたげ];俺はその宴で、ドイツ語訛りの英語を話すとても美しい女性に出会ったんだ。;J'ai rencontré une belle femme qui parle anglais avec un accent allemand lors du dîner.
密輸[みつゆ];俺は一度麻薬の密輸をする話を持ちかけられたことがあるよ。もちろん断ったけどね。;Une fois, on m'a demandé de faire de la contrebande de stupéfiants. Bien sûr j'ai refusé.
独裁[どくさい];俺は世界一の独裁者になるんだ。;Je deviendrai le meilleur dictateur du monde.
中途半端な[ちゅうとはんぱな];俺は中途半端な生き方をしてきたかもしれないけど、マフィアに入りたいって思ったことは一度もないよ。;Ma vie est peut-être incomplète, mais je ne rêverais jamais de rejoindre la mafia.
平穏[へいおん];俺は平穏無事に暮らすことが嫌いだ。;Je n'aime pas vivre dans la paix et la tranquillité.
弾丸[だんがん];俺は弾丸の雨をとても上手くかわした。;J'ai habilement esquivé une gerbe de balles.
押し[おし];俺は押しに弱いんだよなあ。;Je suis trop faible pour le pousser je suppose.
忍耐[にんたい];俺は社長の腰巾着かもしれないが、それって俺にはすごい忍耐力があるってことにもならないかな？;Je suis peut-être en train de suivre notre président comme une ombre, cela ne veut-il pas dire que j'ai une grande endurance ?
興味がない[きょうみがない];俺は顧客と個人的に仲良くなることには興味がないんだ。;Je ne suis pas intéressé à établir des relations personnelles avec les clients.
未熟[みじゅく];俺も昔は未熟で好き勝手してたよ。;J'étais immature et je faisais ce que je voulais aussi.
倉[くら];倉で見つけた地図を広げてみた。;J'ai déplié la carte que j'ai trouvée dans l'entrepôt.
倒錯[とうさく];倒錯思考はまず現実否定から始まる。;Les pensées perverses nient d'abord la réalité.
とは限らない[とはかぎらない];偉人[いじん]が 天才[てんさい]とは限[かぎ]らない。;Les grands hommes ne sont pas toujours des génies.
健忘症[けんぼうしょう];健忘症に苦しんでいる親戚がいます。;J'ai un parent qui souffre d'amnésie.
偶数[ぐうすう];偶数[ぐうすう]は２で 割[わ]り 切[き]れます。;Les nombres pairs peuvent être divisés par 2.
傘立て[かさたて];傘立てに濡れた傘を立てないで下さい。;Veuillez ne pas mettre un parapluie mouillé dans le porte-parapluie.
噴射[ふんしゃ];催涙スプレーの噴射方法を教えてください。;S'il vous plaît, montrez-moi comment pulvériser du gaz lacrymogène.
債券[さいけん];債券市場は何時まで開いてますか。;Jusqu'à quelle heure le marché obligataire est-il ouvert ?
債権[さいけん];債権者は破産手続きによっていくらかお金を受け取れることが多いが、株主は滅多に受け取ることがない。;Les créanciers reçoivent souvent de l'argent de la procédure de faillite, mais les actionnaires le font à peine.
漂着[ひょうちゃく];傷ついた赤ちゃん鯨が、とある砂浜に漂着するところを想像してみてください。;Imaginez un bébé baleine blessé dérivant à terre sur une plage de sable
損なう[そこなう];働きすぎてあんたが健康を損なうんじゃないかって、心配してるのよ。;Je crains que vous puissiez ruiner votre santé en travaillant trop dur.
地理[ちり];僕[ぼく]は、 日本[にほん]の 地理[ちり]に 興味[きょうみ]がある。;Je m'intéresse à la géographie japonaise.
濡れ衣[ぬれぎぬ];僕がおならしたって？そんなの濡れ衣だよ。;Tu es en train de dire que j'ai pété ? C'est une accusation sans fondement.
ゆで卵[ゆでたまご];僕が君のゆで卵を盗んだと思っているのなら、とんだお門違いだよ。;Si vous pensez que j'ai volé votre œuf à la coque, vous vous trompez d'arbre.
空襲[くうしゅう];僕が空を見上げると、ちょうど空襲が始まるところだった。;Quand j'ai levé les yeux vers le ciel, le raid aérien était sur le point de se produire.
農耕[のうこう];僕のおじいさんは農耕をしています。;Mon grand-père est fermier.
斬殺[ざんさつ];僕のお気に入りのアニメキャラクターが斬殺されてしまった。;Mon personnage d'anime préféré a été abattu.
超音速[ちょうおんそく];僕のパンダロボットは、超音速で空を飛べるんだぜ。;Mon robot panda peut voler à des vitesses supersoniques.
揺する[ゆする];僕の伯父さんは、今まで蜂に刺されたことがなくて、どんなものか試してみたかったから、蜂の巣がある木を揺すったんだそうです。;Il paraît que mon oncle a secoué un arbre avec une ruche parce qu'il n'avait jamais été piqué par une abeille et voulait essayer.
精神病[せいしんびょう];僕の友達は精神病で頭が少しイッちゃてるけど、良い人だよ。;Mon ami est un peu détraqué à cause d'une sorte de maladie mentale, mais c'est un gars sympa.
惰性[だせい];僕は、勉強への意欲は無く、ただ惰性で大学へ通っていました。;Je n'avais aucune envie d'étudier, j'ai simplement fréquenté l'université par habitude.
闇[やみ];僕はある梟と目を交換したから、暗闇でも目が見えるんだよ。;J'ai changé d'yeux avec un hibou donc maintenant je peux voir dans le noir.
賞金[しょうきん];優勝[ゆうしょう] 者[しゃ]に 賞金[しょうきん] 10 万[まん] 円[えん]が 贈[おく]られた;Le prix de 100 000 yen a été remis au gagnant.
擁する[ようする];優勝候補は、天才バッターを擁するトフグ学園です。;Le favori pour le championnat est le génial frappeur de Tofugu Academy.
敢闘[かんとう];優勝候補を相手に、よく敢闘したと思います。;Je pense que je me suis battu assez courageusement contre un favori pour le championnat.
返還[へんかん];優勝旗が毎年返還されなくちゃいけないなんて、知らなかったよ。;Je ne savais pas que le drapeau du championnat devait être rendu chaque année.
福袋[ふくぶくろ];元旦に、福袋を買う列に並ぶため、妹と私は朝の四時に起きました。;Le jour du Nouvel An, ma sœur et moi nous sommes réveillées à 4 heures du matin pour faire la queue pour acheter des Lucky Bags.
お祈り[おいのり];元気をお祈りします。;Je te souhaite bonne chance. (prière)
数学[すうがく];兄[あに]は 数学[すうがく]の 先生[せんせい]です。;Mon grand frère est professeur de mathématiques.
貯金箱[ちょきんばこ];兄は、十年前に私の貯金箱を盗んだ事を白状しました。;Mon frère a avoué qu'il avait volé ma tirelire il y a dix ans.
堕落[だらく];兄は酒と女に溺れ、敢然に堕落した生活を送っています。;Mon frère a failli se noyer dans les femmes et l'alcool, et est enterré dans sa vie horriblement corrompue.
先回り[さきまわり];先回りして、まちぶせしよう！;Allons-y et tendons-leur une embuscade !
減法[げんぽう];先日、加法をマスターしたので今日からは減法を学びます。;J'ai maîtrisé l'addition l'autre jour, donc je vais commencer à apprendre la soustraction aujourd'hui.
顕彰[けんしょう];先日、献血50回を労る顕彰をいただきました。;L'autre jour, j'ai été honoré d'avoir donné du sang 50 fois.
先日[せんじつ];先日[せんじつ]の 件[けん]はどうなりましたか。;Qu'en est il du problème de l'autre jour ?
先月[せんげつ];先月[せんげつ]、 友達[ともだち]の 結婚式[けっこんしき]があった。;Il y a eu la cérémonie de mariage de mon ami le mois dernier.
誕生[たんじょう];先月[せんげつ]、 娘[むすめ]が 誕生[たんじょう]しました。;J'ai donné naissance à une petite fille le mois dernier.
当番[とうばん];先月[せんげつ]の 日直[にっちょく] 当番[とうばん] 全部[ぜんぶ] 私[わたし]に 押し付[おしつ]けた 形[かたち]でエスケープした 野郎[やろう]だ。;C'est le sale type qui s'est défilé lors de la journée des tâches manégères de la classe du mois dernier que nous devions réaliser ensemble.
時間割[じかんわり];先生[せんせい]から、 新[あたら]しい 時間割[じかんわり]をもらった。;J'ai reçu un nouvel emploi du temps du professeur.
切っ掛けに[きっかけに];先生[せんせい]との 出会[であ]いをきっかけに、私[わたくし]の 人生[じんせい]は 変[か]わった。;Ma vie a changé après avoir eu la chance de rencontrer le professeur.
許可[きょか];先生[せんせい]に 許可[きょか]をもらって 早退[そうたい]しました。;J'ai obtenu la permission du professeur et suis rentré plus tôt.
言葉遣い[ことばづかい];先生[せんせい]にそんな 言葉[ことば] 遣[づか]いをしてはいけません。;Ne parlez pas à votre professeur comme ça.
聞き返す[ききかえす];先生[せんせい]の 話[はなし]がよく 聞き取[ききと]れなかったので、 聞き返[ききかえ]した。;Je n'ai pas pu entendre ce que le professeur a dit, alors j'ai demandé à nouveau.
お蔭[おかげ];先生[せんせい]のお 蔭[かげ]で 大学[だいがく]に 合格[ごうかく]できました。;Grâce au professeur, j'ai pu réussir l'examen d'entrée à l'université.
調べ[しらべ];先生[せんせい]はわれわれの 答案[とうあん] 調[しら]べに 忙[いそが]しい。;L'enseignant est occupé à regarder nos tests.
旨[むね];先生には、家庭の方針として、主人と私は子どもにそうした漫画は読ませたくないと思っているという旨を伝えました。;J'ai expliqué l'essentiel de notre politique familiale et comment mon mari et moi ne voulons pas laisser notre enfant lire des bandes dessinées au professeur.
没収[ぼっしゅう];先生に携帯電話を没収されました。;J'ai confisqué mon téléphone portable à l'enseignant.
研究室[けんきゅうしつ];先生の研究室に参ります。;Je viendrai dans le bureau du professeur. (Humble)
色彩[しきさい];先生は、その生徒は鋭い色彩感覚を持っていると判断しました。;L'enseignant a conclu que l'élève avait un sens aigu de la couleur.
心得[こころえ];先輩が就職活動の心得を教えてくれました。;Mon senpai a transmis ses connaissances sur la recherche d'emploi.
祭り[まつり];先週、お祭りは終わりました。;La semaine dernière, le festival s'est terminé.
受領書[じゅりょうしょ];先週購入したTofugu製品の受領書を送って頂けませんか？;Pourriez-vous m'envoyer le reçu des produits Tofugu que j'ai achetés chez vous la semaine dernière ?
先進国[せんしんこく];先進[せんしん] 国[こく]が 地球[ちきゅう] 温暖[おんだん] 化[か]の 原因[げんいん]とも 言[い]える;On peut dire que les pays développés sont la cause du réchauffement climatique.
不均衡[ふきんこう];先進国と新興国・発展途上国間の経常収支の不均衡は是正されるのでしょうか。;Les déséquilibres des comptes courants des pays en développement seront-ils corrigés entre pays développés et pays sous-développés ?
粒子[りゅうし];光が粒子なのか波なのかを考えていて、昨日は眠れませんでした。;Je me demandais si la lumière était une particule ou une onde et je n'ai pas pu dormir la nuit dernière.
透ける[すける];光っている電球の上に銀色のスクラッチカードを当てると、その銀色の部分の下に何が書かれてるかが透けて見えちゃうことがあるんだよ。;Si vous mettez une carte à gratter argentée sur une ampoule brillante, vous pouvez parfois voir à travers la partie argentée ce qui est écrit en dessous.
入団[にゅうだん];入団するための申しこみ書は、細かい活字でいんさつされていました。;La demande d'inscription était imprimée en petits caractères.
購読[こうどく];全アメリカ人がTofuguのニュースレターを購読しているという噂が、日本中に広まった。;La rumeur selon laquelle tous les Américains sont abonnés à la newsletter Tofugu s'est répandue dans tout le Japon.
偽造[ぎぞう];全く同じ日に、二種類の偽造紙幣が東京で出回り出しました。;Deux types de faux billets ont commencé à circuler à Tokyo le même jour.
流浪[るろう];全てのジプシーが貧しい流浪の民というわけではない。;Cela ne veut pas dire que tous les Gitans sont des gens pauvres et nomades.
迫害[はくがい];全ての人々が、世界の迫害と差別の歴史を学ぶべきだと思います。;Je pense que tout le monde devrait apprendre l'histoire de la persécution et de la discrimination dans le monde.
証言[しょうげん];全トーフグ社員が、コウイチがビエトのミートボールを食べるのを見たと証言しました。;Tous les travailleurs de Tofugu ont témoigné qu'ils avaient vu Koichi manger la boulette de Viêt.
講堂[こうどう];全員、 講堂[こうどう]に集まってください。;Tout le monde, s'il vous plaît, venez à l'auditorium.
全般的[ぜんぱんてき];全般的に、犬は猫を怖がるものじゃないんですかね。;Les chiens ont généralement peur des chats, n'est-ce pas ?
花[はな];公園で美しい花を見ました。;J'ai vu des belles fleurs dans le parc.
千[せん];六 千[せん]分は、百時間です。;6000 minutes équivalent à 100 heures.
兵員[へいいん];兵員たちはみんな、かぜにかかって鼻がつまっている。;Tous les militaires ont le rhume et le nez bouché.
兵士[へいし];兵士[へいし]たちは 足踏[あしぶ]みをしていた。;Les soldats marchaient au pas.
兵糧[ひょうろう];兵糧攻めをするつもりなんだ。;Ils prévoient d'utiliser des tactiques de famine.
其れでは[それでは];其[そ]れでは 次[つぎ]の 質問[しつもん]に 移[うつ]りましょう。;Eh bien, passons à la question suivante.
具体的[ぐたいてき];具体[ぐたい] 的[てき]な 例[れい]をいくつか 見[み]せてください。;Veuillez me montrer quelques exemples concret.
内因[ないいん];内因性ぜんそくだとしんだんされました。;On m'a diagnostiqué un asthme intrinsèque.
再来月[さらいげつ];再来月[さらいげつ]まで 予約[よやく]でいっぱいです。;Les réservations sont complètes pour les deux prochains mois. 
写真[しゃしん];写真[しゃしん]は 良[い]い 思[おも]い 出[で]になります。;Les photographies deviennent de beaux souvenirs.
四隅[よすみ];写真の四隅を暗く加工するにはどうすればいいのか教えてください。;Pouvez-vous m'apprendre le meilleur procédé pour assombrir les quatre coins d'une image ?
暖房[だんぼう];冬[ふゆ]は 暖房[だんぼう]が 必要[ひつよう]です。;Le chauffage est nécessaire en hiver.
嗽[うがい];冬[ふゆ]はまめにうがいをします。;Je gargarise beaucoup en hiver.
遅咲き[おそざき];冬が長引いたため、今年はうちのお庭の桜は遅咲きでした。;Les cerisiers de notre cour ont connu une floraison tardive cette année en raison de l'hiver prolongé.
運河[うんが];冬には運河の上でスケートができますよ。;Vous pouvez patiner sur le canal pendant l'hiver.
最も[もっとも];冬は一日が短く、最も寒い時期です。;L’hiver est la période où les journées sont courtes et où il fait le plus froid.
一番[いちばん];冬は私の一番好きな季節です。;L'hiver est ma saison préférée.
冷たい[つめたい];冷[つめ]たい 飲[の]み 物[もの]をください。;S'il vous plaît, donnez-moi une boisson froide.
冷房[れいぼう];冷房[れいぼう]を 入[い]れてください。;Veuillez allumer le climatiseur.
故障[こしょう];冷蔵庫[れいぞうこ]が 故障[こしょう]しました。;Le réfrigérateur est tombé en panne.
凹凸[おうとつ];凹凸のはっきりした顔立ちですね。;Il a des caractéristiques distinctement inégales, n'est-ce pas?
鍵[かぎ];出[で]かけるときは 鍵[かぎ]を 掛[か]けてください。;Veuillez fermer la porte à clé quand vous partez.
胎盤[たいばん];出産後、妻の胎盤を食べてみました。;J'ai mangé le placenta de ma femme après qu'elle ait accouché.
刃先[はさき];刃先を俺の首に当てながら、奴は、皆にいつもご機嫌をとられてるってのはどんな気分なのかと聞いてきたんだ。;Tout en mettant le tranchant de la lame dans mon cou, les gars m'ont demandé ce que ça faisait d'avoir des gens qui me flattaient tout le temps.
刃物[はもの];刃物をちらつかせながら、男は低い声で私に「こっちへ来い」と言いました。;Tout en brandissant son couteau, il me dit à voix basse : « Viens ici.
大敵[たいてき];分かっていると思うけど、油断大敵だよ。「猿も木から落ちる」って言うだろう？;"Comme vous le savez tous, l'excès de confiance est le plus grand ennemi de l'homme. Les gens disent que ""même les singes tombent des arbres"", n'est-ce pas ?"
口座[こうざ];初[はじ]めて 自分[じぶん]の 口座[こうざ]を 開[ひら]いた。;J'ai ouvert mon propre compte pour la première fois.
入獄[にゅうごく];初めて入獄した時、何故か安心感を得たんですよね。;Quand j'ai été emprisonné pour la première fois, pour une raison quelconque, je me sentais en sécurité.
感慨深い[かんがいぶかい];初めて自分の書いたものが出版されるのは、やっぱり感慨深いものがあります。;C'est la première fois que mes écrits seront publiés, donc bien sûr c'est quelque chose de profondément émouvant pour moi.
初詣で[はつもうで];初詣[はつもう]、ご 利益[りえき]があるのはどこの 神社[じんじゃ]？;Quels temples sont bénéfiques, lors de la visite des temples du Nouvel An  ?
別冊[べっさつ];別冊の付ろくをいつも楽しみにしています。;Je suis toujours impatient de libérer des volumes séparés.
呉越同舟[ごえつどうしゅう];利害が一致すれば、呉越同舟も厭わない。;Si nous pouvons partager des intérêts communs, cela ne me dérangera pas d'être dans le même bateau que mes rivaux.
塗料[とりょう];刷毛に蛍光塗料を付けました。;J'ai trempé le pinceau dans la peinture fluo.
年額[ねんがく];前回のサービスも良かったとは思いますが、今回の新サービスはもっとよくなったと思うんです。それでいて、会員費は変わらず年額80ドルのままなんですよ。;Je pense que le service précédent était bon, mais nous sentons que nous nous sommes surpassés sur ce nouveau service. De plus, les frais d'adhésion ne sont encore que de quatre-vingts dollars par an.
屈辱[くつじょく];前年度優勝校と一回戦で当たってしまい、屈辱的な敗北を味わったが、相手が悪かった。;Nous avons été confrontés au premier tour aux champions de l'an dernier et avons subi une défaite humiliante. C'était un mauvais tapis
胴[どう];剣道の試合で、コウイチは竹刀で相手の胴を完璧に討ち取りました。;Dans un match de kendo, Koichi frappe parfaitement la partie inférieure du torse de l'adversaire avec son épée en bambou.
副業[ふくぎょう];副業で、私の彼氏はネットワークビジネスをしている。;En parallèle, mon copain travaille pour une entreprise utilisant des techniques de marketing multi-niveaux.
力士[りきし];力士のサインがほしいなら両国に行ってみたら？;Si vous voulez l'autographe d'un lutteur de sumo, pourquoi ne pas aller à Ryogoku ?
劣悪[れつあく];劣悪な職場環境の会社は、日本ではしばしば「ブラック企業」と呼ばれます。;"Les entreprises avec des environnements de travail très difficiles sont souvent appelées ""entreprises noires"" au Japon."
甲斐[かい];努力の甲斐があって、そのニュースレターは廃刊になるのを免れた。;Grâce à ses efforts, le bulletin a pu éviter d'être discontinué.
酷使[こくし];労働者を酷使するブラック企業をこのまま野放しにしていてもいいんですか。;Pensez-vous qu'il est acceptable de laisser les entreprises noires qui exploitent leurs travailleurs continuer à prendre soin d'elles-mêmes ?
敬意[けいい];労働者階級には敬意を払うべきである。;La classe ouvrière mérite le respect.
苛める[いじめる];動物[どうぶつ]を 苛[いじ]めてはいけません。;Vous ne pouvez pas embêter les animaux.
混血[こんけつ];動物は、別の種が混血することはめったにありません。;Il est rare que des animaux mélangent des races entre elles.
勘弁[かんべん];勘弁してちゃぶ台。今日は忙かったし、滅茶苦茶疲れているんだ。;Donnez-moi un peu de mou. La journée a été longue et je suis terriblement fatigué.
勝者[しょうしゃ];勝者だけが次のステージにすすめます。;Seul le gagnant passera à l'étape suivante.
錆びる[さびる];包丁[ほうちょう]がさびてしまった。;Le couteau de cuisine a rouillé.
燃え付く[もえつく];化学の実験をしている最中に、前髪に火が燃え付いた。;Ma frange a pris feu lors d'une expérience de chimie.
天才[てんさい];北野[きたの] 武[たけし]は 映画[えいが]の 天才[てんさい]だと 思[おも]います。|かれ は わらい の てんさい だ ね;Je pense que Takeshi Kitano est un génie du cinéma.
倫理学[りんりがく];医学倫理学の講座を受けています。;Je suis un cours d'éthique médicale.
全治[ぜんち];医者には、全治するのは難しいと思う、多分後いしょうが残るだろうって言われました。;Le médecin m'a dit qu'il était difficile de récupérer complètement et qu'il me resterait probablement des dommages permanents.
薬方[やくほう];医者にもらった薬方を失くしてしまいました。;J'ai perdu l'ordonnance que le médecin m'avait donnée.
鎮痛剤[ちんつうざい];医者に鎮痛剤を注射してもらいました。;J'ai reçu une injection d'analgésique du médecin.
匿名[とくめい];匿名で投書をしました。;J'ai écrit une lettre à l'éditeur de manière anonyme.
蚊帳[かや];十人用の大きな蚊帳はありますか？;Avez-vous une moustiquaire assez grande pour dix personnes ?
清涼[せいりょう];十分間にどれだけの炭酸入り清涼飲料水を飲めると思いますか？;Combien de boissons gazeuses pensez-vous pouvoir boire en dix minutes ?
克明[こくめい];十年前の旧正月のことは、克明に覚えていますよ。;J'ai des souvenirs détaillés du Nouvel An chinois d'il y a dix ans.
支局[しきょく];千ば支局にてんきんすることになりました。;J'ai été transféré à la succursale de Chiba.
奏楽[そうがく];千円くらいの、奏楽用のハンドベルはありますか？;Avez-vous une clochette musicale pour environ 1000 yens ?
千円札[せんえんさつ];千円札のおつりが不足しています。;Je n'ai pas de monnaie pour un billet de mille yens.
県[けん];千葉[ちば]県[けん]は 東京[とうきょう]にあります;La préfecture de Chiba se trouve à Tokyo.
升目[ますめ];升目を数えると、全部で400ありました。;Quand j'ai compté les boîtes, il y en avait 400 au total.
電灯[でんとう];午後[ごご]五時[ごじ]には 電灯[でんとう]が 付[つ]きます。;La lumière s'allumera à 17h00.
舞踏[ぶとう];半年ぶりの舞踏会でした。;C'était la première danse en six mois.
卑劣[ひれつ];卑劣な手段を使いやがって。;Vous avez joué un mauvais tour !
卒業式[そつぎょうしき];卒業式の後で、橋の上で一しょに写真をとろうよ！;Après la cérémonie de remise des diplômes, prenons ensemble une photo sur le pont !
虐殺[ぎゃくさつ];南京大虐殺が捏造だったというなら、その証拠を説明してください。;Si vous dites que le massacre de Nankin est une fabrication, veuillez expliquer les preuves.
南極圏[なんきょくけん];南極圏にはペンギン以外にも動物はいるんですか？;Existe-t-il d'autres animaux que les manchots dans le cercle antarctique ?
博打[ばくち];博打を打つことは日本では違法です。;Le jeu est illégal au Japon.
象牙[ぞうげ];印鑑を高級な象牙の物に変えました。;J'ai remplacé mon tampon nominatif par un tampon ivoire coûteux.
遭難[そうなん];危うく遭難するところでした。;Nous avons manqué de peu d'avoir un désastre.
即効[そっこう];即効で目の疲れを取る方法をお教えしましょう。;Je vais vous montrer un moyen d'éliminer instantanément la fatigue oculaire.
即座[そくざ];即座の結果は期待しないでください。;S'il vous plaît ne vous attendez pas à des résultats immédiats.
卸売[おろしうり];卸売市場の見学をしてきました。;Je suis allé observer le marché de gros.
高血圧[こうけつあつ];原因は高血圧です。;La cause est l'hypertension artérielle.
原潜[げんせん];原子力潜水艦は、略して原潜と呼ばれることもある。;Les sous-marins nucléaires sont parfois appelés Gensen, en abrégé.
原子炉[げんしろ];原子炉の建設について、政府に忠告をした人もいました。;Certaines personnes ont mis en garde le gouvernement contre la construction de réacteurs nucléaires.
原油[げんゆ];原油の値段は上がり続けている。;Le prix du pétrole brut va continuer à augmenter.
漏出[ろうしゅつ];原油の海への漏出事故を防ぐために、どんな手段を講じていますか。;Quel type de mesures votre entreprise prend-elle pour prévenir les fuites accidentelles de pétrole brut dans la mer ?
合繊[ごうせん];原油安やナフサ安を受けて、合繊の価格も下落しています。;Nous recevons du pétrole brut bon marché et du naphta bon marché et le prix des fibres synthétiques est également en baisse.
原爆[げんばく];原爆[げんばく]で 大勢[おおぜい]の 人[ひと]が 亡[な]くなりました;Beaucoup de gens sont morts dans l'explosion de la bombe atomique.
校閲[こうえつ];原稿を校閲してもらえませんか。;Pourriez-vous réviser mon manuscrit pour moi ?
潟[かた];去年の夏、秋田県の八郎潟にバス釣りに行きました。;L'été dernier, je suis allé pêcher le bar dans le lagon de Hachiro dans la préfecture d'Akita.
外科[けが];友人[ゆうじん]が 骨折[こっせつ]して 外科[げか]に 入院[にゅういん]しました。;Mon ami a été admis à l'hôpital en chirurgie a cause d'un os cassé.
賃貸[ちんたい];友人が賃貸のアパートを探してるんですが、どこかいい物件を知りませんかね。;Mon ami cherche un appartement à louer, vous ne connaissez pas de bonnes adresses ?
披露宴[ひろうえん];友人の披露宴に出席する際のマナーを教えてください。;S'il vous plaît, apprenez-moi les bonnes manières lorsque j'assisterai à la réception de mariage de mon ami.
証[あかし];友情の証として、このふじ山のキーホルダーをあげます。;Comme preuve de notre amitié, je vous offre ce porte-clés du Mont Fuji.
花見[はなみ];友達[ともだち]と 花見[はなみ]をしました。;Je suis allé admirer les fleurs de cerisier avec mes amis.
野球[やきゅう];友達[ともだち]と 野球[やきゅう]をしました。;J'ai joué au baseball avec mes amis.
飲む[のむ];友達[ともだち]とお 酒[さけ]を 飲[の]んでいます。;Je bois du saké avec mon ami.
枠[わく];友達[ともだち]に 励[はげ]まされて 勇気[ゆうき]がわいたよ。;J'ai ressenti du courage en moi après les encouragements de mon ami.
双子[ふたご];友達[ともだち]に 双子[ふたご]が 生[う]まれたよ。;"Mon ami a donné naissance à des jumeaux. ; (Des jumeaux sont nés de mon ami.)"
耐熱[たいねつ];友達が耐熱容器の漫画を書いてるんだけど、主人公の容器の「耐熱容器としての限界を感じた」っていう台詞が気に入ってるのよね。;"Mon ami écrit un manga sur les contenants résistants à la chaleur. Le conteneur protagoniste a déclaré : ""J'ai atteint ma limite en tant que conteneur résistant à la chaleur."" J'aime vraiment cette ligne."
牛丼[ぎゅうどん];友達と一緒に牛丼を食べるのが大好きです。;J'adore manger des bols de bœuf avec mes amis.
知恵[ちえ];友達に子育ての知恵をアドバイスしてもらった;J’ai reçu de mon ami des conseils de sagesse sur l’éducation des enfants.
お陰[おかげ];友達のお陰で毎日楽しいです。;Grâce à mes amis, chaque jour est amusant.
稲田[いなだ];友達はもっと大きい稲田をもっていますよ。;Mon ami a des rizières beaucoup plus grandes.
侮蔑[ぶべつ];叔母の言葉は、いつも軽い侮蔑を帯びている。;Le discours de ma tante a toujours de légères traces de mépris.
取り分け[とりわけ];取り分けコウイチがどなっている時に、ビエトは一人静かに笑っていました。;Viet riait doucement pour lui-même, surtout quand Koichi criait.
取り敢えず[とりあえず];取り敢えず枝豆とビールをください。|とりあえず おしらせ して おきます|大学[だいがく]に 合格[ごうかく]したので、 取[と]り 敢[あ]えず 母[はは]に 知[し]らせた。;Edamame et bière pour l'instant s'il vous plaît.|Voici mon rapport, pour l'instant.|J'ai été accepté à l'université, alors j'ai d'abord informé ma mère.
左翼[さよく];取材であの左翼支持者の方とお会いできるのがとても楽しみです。;Je suis tellement excité que je rencontre le partisan du mouvement de gauche pour une interview.
受付[うけつけ];受付[うけつけ]は９ 時[じ]からです。;La réception est à partir de 9 heures.
浪人[ろうにん];受験に失敗し、浪人生活に突入しました。;J'ai échoué à l'examen et je suis entré dans la vie d'un étudiant raté.
災い[わざわい];口[くち]は 災[わざわ]いの 元[もと]です;La bouche est source de malheur.
口笛[くちぶえ];口笛が下手くそなので、私が口笛を吹いても犬が来てくれません。;Mon chien ne vient pas à mon sifflet parce que je siffle mal.
口笛を吹く[くちぶえをふく];口笛を吹くことにどんな魅力を感じますか。;Qu'est-ce qui vous attire dans le sifflement ?
整理[せいり];古[ふる]い 服[ふく]を 整理[せいり]しました。;J'ai rangé les vieux vêtements.
雑巾[ぞうきん];古[ふる]いタオルで 雑巾[ぞうきん]を 作[つく]った。;J'ai fabriqué des chiffons à partir d'une vieille serviette.
廃棄[はいき];古いテレビの廃棄に支払うお金、五千円もあれば十分なんじゃないの？;5 000 yens devraient suffire pour se débarrasser de l'ancien téléviseur, n'est-ce pas ?
防腐剤[ぼうふざい];古い防腐剤はどこに捨てればいいですか。;Où dois-je jeter les anciens antiseptiques ?
遺跡[いせき];古代の遺跡で、フグの形をした石像を見つけました。;Nous avons trouvé une statue de pierre en forme de Fugu dans les ruines antiques.
叩頭[こうとう];叩頭とは、いわゆる日本の土下座のことです。;"Kowtow est ce qu'on appelle ""dogeza"" au Japon."
排除[はいじょ];各下水道施設は、下水排除規準を満たす必要があります。;Chaque station d'épuration doit respecter les normes d'évacuation des eaux usées.
諸[しょ];各出席者の方に、まず諸書類をお配り致します。;Nous allons d'abord distribuer divers documents à chaque personne présente.
担当者[たんとうしゃ];合併[がっぺい] その他[そのほか]の 交渉[こうしょう]のために 同社[どうしゃ]は２５ 人[にん]の 担当者[たんとうしゃ]を 加[くわ]えた。;Le cabinet a ajouté 25 nouveaux associés pour travailler sur les fusions et autres transactions.
